Name,X100077_0m,X100120_0m,X100123_0m,X300112_0m,X100077_2m,X100120_2m,X100123_2m,X300112_2m,X100077_6m,X100120_6m,X100123_6m,X300112_6m
EVA1A,0,0,0,0,0,0,0,0,0,0,0,0
LANCL1,0,0,0,0,0,0,0,0,0,0,0,0
REG1A,0,0,0,0,0,0,0,0,0,0,0,0
FANCL,9,0,0,0,5,0,55,33,0,34,0,0
IGFBP2,14,0,0,10,19,0,2,0,16,0,0,0
IGFBP5,1,1,2,0,1,0,2,1,0,0,1,1
KCNJ13,20,43,41,30,14,22,30,28,28,51,30,29
CCT4P2,3,2,6,0,9,3,0,4,6,6,7,0
GGCX,81,175,135,128,73,125,130,138,90,180,162,90
NEU2,0,0,0,0,0,0,0,0,0,0,0,0
MOB4,0,0,0,9,9,10,0,0,0,9,21,12
HSPE1,58,56,62,52,56,39,75,72,43,73,32,49
PRKAG3,0,0,0,0,0,0,0,0,0,0,0,0
WNT6,0,1,1,2,4,3,4,7,2,2,4,3
IL1RL1,54,46,21,11,43,48,10,5,29,49,23,2
IL18R1,59,0,0,98,0,101,120,0,77,77,154,75
SLC9A2,1,1,2,1,1,1,1,1,0,1,4,2
AZU1,22,22,7,7,26,12,6,9,10,6,7,3
PPP1R7,26,15,38,16,37,5,19,22,11,17,22,29
PASK,72,48,67,69,53,69,66,82,24,92,39,75
PROC,2,3,5,1,0,0,4,4,2,0,2,0
ID2,0,2,0,0,0,5,13,5,2,5,5,15
ODC1,496,508,1046,838,585,956,651,941,513,728,958,707
PLEKHB2,309,612,436,425,320,389,457,660,328,595,456,175
GREB1,2,2,0,4,0,0,0,3,7,0,3,0
GORASP2,114,134,124,75,59,96,121,115,72,148,79,52
CEBPZ,232,241,255,210,210,233,278,296,206,299,325,166
PRKD3,0,175,0,239,0,0,0,0,0,0,0,230
RMDN2,0,0,0,0,5,0,0,0,0,0,0,0
DLX2,0,0,0,0,0,0,0,0,0,0,3,2
SLC1A4,47,67,39,62,65,61,73,85,37,74,54,34
ORC2,90,141,137,101,109,110,130,113,108,162,180,112
COX7A2L,153,116,160,125,118,159,176,190,109,198,119,129
PPP3R1,1534,1527,2177,1478,1352,1698,2204,1857,1171,1840,2780,1360
PLEK,1346,2634,2329,2248,854,1831,2596,2382,1062,2210,2069,1393
KISS1R,3,1,5,6,0,2,1,1,4,2,4,5
GRIN3B,14,21,30,12,9,26,16,24,18,25,36,21
VAX2,0,0,0,0,0,0,0,0,0,0,0,0
ATP6V1B1,0,0,0,0,0,0,0,0,0,0,0,0
MSH6,124,176,211,102,143,199,177,136,105,205,214,110
PLEKHA3,276,366,387,360,224,392,387,421,233,501,368,264
SPR,3,3,5,3,1,3,12,2,0,9,3,2
ENO1,1254,1792,1548,1649,920,1527,1541,2049,1248,1767,1350,1248
MMP23A,0,0,0,0,0,0,0,0,0,0,0,0
CDC7,18,0,31,56,0,0,24,46,28,45,66,32
SYDE2,12,10,8,7,7,14,2,11,3,6,6,6
SARS1,274,313,269,289,242,332,284,392,239,404,270,260
CLCA1,0,0,0,0,0,0,0,0,0,0,0,0
BCL9,98,68,77,70,81,62,91,74,88,96,83,58
TPSG1,0,0,0,0,0,0,0,0,0,0,3,0
ANGPTL1,20,29,51,33,35,33,59,25,20,60,68,22
TCEANC2,122,223,184,170,118,177,200,201,127,229,208,170
TMEM59,72,115,176,146,69,129,155,165,70,140,151,106
RPL22,706,830,798,765,614,718,1000,898,653,1062,912,748
OPRD1,24,52,57,18,32,23,36,20,17,43,47,12
WDR77,79,104,102,82,58,94,78,100,102,145,137,77
RNF19B,132,264,183,209,106,82,194,244,140,218,214,128
DLGAP3,3,7,0,0,6,5,8,8,8,7,9,7
DLEU2,11,90,61,60,12,49,60,30,23,53,36,45
C1orf21,72,78,77,93,38,88,60,98,68,159,43,55
MAD2L2,2,0,2,4,2,4,0,0,4,0,0,0
MFN2,322,711,511,678,297,560,513,954,267,711,541,464
MIIP,54,76,83,97,81,86,106,98,67,77,111,92
SLC35D1,160,132,166,164,135,171,169,195,131,245,203,114
PRAMEF10,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF4,0,0,0,0,0,0,0,0,0,0,0,0
PRDM2,97,123,173,168,83,193,48,202,138,219,115,158
RGS2,1768,3424,2770,2519,738,2049,3954,2127,1762,4011,2868,1707
DENND1B,17,9,27,18,20,0,20,31,9,26,46,13
WARS2,0,0,24,26,14,20,15,0,19,20,22,21
OSCP1,1,0,0,0,0,0,0,0,0,0,0,0
NT5C1A,0,0,0,0,0,0,0,0,0,0,0,0
SLAMF1,0,0,0,0,0,0,0,0,0,0,0,0
KDM5B,5,7,9,43,46,21,5,46,34,12,35,57
AKR7A2,63,60,52,79,32,64,78,93,39,78,62,50
GBP3,20,33,9,10,0,21,7,11,0,28,18,34
RAB29,20,58,17,44,20,44,22,60,0,33,34,41
CD160,36,11,0,6,0,0,20,4,0,0,0,0
HMGCL,0,4,0,0,0,4,2,0,0,0,6,0
APH1A,2,2,5,11,13,2,9,7,13,0,5,0
P3H1,3,3,10,7,14,24,8,24,22,20,39,0
EBNA1BP2,52,41,64,56,22,46,44,67,40,60,67,32
ATP6V0B,26,40,93,35,5,21,91,42,22,60,57,46
SLC19A2,0,35,18,0,0,0,0,23,0,38,0,0
SELL,4687,9474,6785,4015,2156,4577,9348,4067,3551,6183,6537,2742
FMO6P,0,0,0,0,0,0,0,0,0,0,0,0
VAMP4,133,122,157,105,105,164,133,134,96,198,201,86
GRHL3,0,0,0,0,0,0,0,0,0,0,0,0
SYF2,297,440,337,344,214,248,441,388,230,378,311,246
DHDDS,0,0,0,0,0,0,0,12,0,0,0,0
PPP1R8,10,8,30,0,11,17,11,0,2,10,10,8
SLC5A9,0,0,0,0,0,0,0,0,0,0,0,0
CTSD,1247,1019,1052,1453,862,813,1390,1284,1269,726,1066,837
COLEC11,0,0,0,0,0,0,0,0,0,0,0,0
STAG1,74,0,22,0,12,19,0,0,0,0,0,0
A4GNT,0,1,0,0,0,0,0,0,0,0,0,0
MMP8,45,57,51,34,47,28,12,35,23,28,17,14
APOA1,0,0,0,0,0,0,0,0,0,0,0,0
SLC8A2,0,0,0,0,0,0,0,0,0,0,0,0
NR5A2,0,0,0,0,0,0,0,0,0,0,0,0
TNNT2,0,0,0,0,0,0,0,0,0,0,0,0
CAMSAP2,41,0,13,0,24,0,0,0,0,0,0,0
FCGR2B,2,6,5,4,17,0,21,3,10,1,4,9
FCRLA,12,0,45,22,45,48,103,34,22,32,96,30
EEF1B2,84,58,0,0,63,0,14,27,31,25,0,0
ATIC,45,64,95,50,16,54,59,44,77,101,72,39
TNP1,0,0,0,0,0,0,0,0,0,0,0,0
FASTKD2,41,68,33,20,33,46,45,46,45,45,50,24
TTR,0,0,0,0,0,0,0,0,0,0,0,0
B4GALT6,7,0,0,0,0,0,0,8,0,0,0,0
DOP1A,0,18,78,108,61,12,44,113,0,40,77,58
FILIP1,0,0,0,0,0,0,0,0,0,0,0,0
CASP8AP2,159,130,191,118,97,90,106,247,126,196,124,127
UBE3D,0,0,0,0,0,0,0,0,0,0,0,0
SPACA1,0,0,0,0,0,0,0,0,0,0,0,0
SGIP1,2,0,4,0,0,2,0,5,0,0,3,0
TBPL1,35,42,52,38,43,49,37,44,31,41,73,32
ZC2HC1B,0,0,0,0,0,5,0,0,0,0,0,0
FBXO30,279,351,345,292,196,339,373,388,186,477,442,238
ADAT2,0,0,20,0,8,13,27,0,0,10,40,14
TNFAIP3,257,134,0,308,136,146,93,122,73,331,232,43
SGK1,237,251,133,171,73,216,238,175,63,251,201,143
TCF21,0,9,5,6,0,0,10,4,0,9,4,4
PMFBP1,3,0,0,0,5,3,0,7,0,0,0,0
MED28,531,877,906,733,510,726,735,845,524,973,935,612
RNF103,131,143,162,118,80,115,170,148,60,177,151,107
MYL12B,572,869,675,645,376,599,898,775,384,933,657,508
ARMC2,0,7,0,0,8,17,8,7,13,12,10,0
GHRH,0,0,0,0,0,0,0,0,0,0,0,0
RPN2,383,537,478,424,339,470,442,534,332,546,498,298
SOGA1,121,181,159,151,115,118,143,232,122,173,153,152
PKD2,72,79,78,77,47,69,78,85,49,92,93,54
ABCG2,0,20,44,43,29,32,53,46,24,41,13,0
SPP1,0,0,0,0,0,0,0,0,0,3,0,0
STBD1,7,6,33,15,7,21,23,32,14,18,4,22
ADH6,0,0,0,0,3,1,0,0,0,0,0,0
CCNI,2686,3097,3616,2935,3222,3443,3140,3551,2159,3675,3342,2066
RARRES1,1,5,9,5,5,8,6,7,9,8,3,1
RAB3GAP2,0,0,0,3,0,3,0,2,0,0,0,2
LDAH,41,16,33,29,25,30,13,54,26,46,0,25
FGF23,8,25,17,9,9,21,10,8,8,11,8,16
OTUD4P1,3,15,20,14,11,20,19,12,19,30,16,11
ELL2,153,182,179,141,139,159,185,175,135,221,177,129
GLRX,111,237,83,124,98,126,185,136,58,184,82,83
NDUFB3,50,101,61,71,53,54,121,61,60,77,67,62
ZFAND5,190,257,417,294,210,325,470,277,191,320,380,213
GDA,0,0,0,0,0,0,0,0,0,0,0,0
ECRG4,2,0,0,0,0,0,0,1,2,0,0,0
YWHAQ,567,607,555,541,452,490,722,686,372,768,581,446
ITGB1BP1,0,6,0,0,0,0,0,0,10,0,0,0
CPSF3,67,82,73,78,64,98,86,86,76,116,87,71
PIGZ,1,1,3,0,6,1,2,5,1,1,2,2
DDX55,17,31,37,39,23,43,30,44,26,45,38,41
CCDC92,28,55,22,66,38,31,22,36,17,39,25,25
LGALS8,3,0,0,2,0,0,9,4,0,0,0,0
FKBP15,322,552,448,419,234,414,367,472,338,355,352,292
HDHD3,14,24,15,10,23,4,19,21,9,32,23,14
ALG2,11,37,18,19,21,29,28,35,10,36,32,26
VPS4B,524,687,610,537,339,596,757,644,386,767,609,444
SERPINB10,21,18,10,9,31,14,12,11,20,19,10,13
GSC,0,0,0,0,0,0,0,0,0,0,1,0
ADCK1,0,13,12,11,3,19,6,5,12,22,12,10
PGF,1,0,0,4,0,0,0,0,1,0,2,1
NEK9,144,221,169,151,182,164,204,225,103,207,137,110
ACYP1,10,0,6,5,14,3,7,11,12,14,14,0
IFT43,4,2,0,0,0,0,0,0,0,0,0,0
NPC2,0,0,0,0,0,0,0,0,0,0,0,0
IRF2BPL,296,403,440,440,206,302,450,423,248,370,462,318
ACOT2,14,12,18,6,29,33,21,28,18,26,28,11
FLVCR2,30,72,58,43,33,51,46,49,38,45,53,32
DLST,0,0,0,0,0,0,0,0,14,2,0,8
TGFB3,3,4,10,6,8,9,0,6,4,0,9,0
ZC2HC1C,0,0,0,0,0,0,0,0,0,0,0,0
SLIRP,0,0,0,0,0,0,2,0,0,0,3,0
PAPOLG,106,145,107,110,101,162,143,156,99,194,168,96
TP53I3,9,15,20,15,15,13,11,20,4,15,25,7
RHOQ,334,484,393,357,183,385,515,369,204,483,444,275
TMEM214,126,147,126,130,109,82,131,174,105,184,144,90
ATAD2B,355,444,550,383,338,449,500,517,333,661,612,346
FAM98A,43,53,50,30,41,41,75,64,51,65,44,30
YIPF4,454,775,859,620,368,554,666,682,374,810,756,490
AFTPH,42,20,19,0,0,0,92,52,49,94,218,57
LGALSL,203,262,314,287,132,175,266,244,136,155,227,177
CRIPT,71,104,133,68,55,115,154,97,66,134,175,78
ADGRB3,0,0,0,0,0,0,0,0,0,0,0,0
MFSD13A,22,55,44,36,18,38,42,42,19,45,62,30
SLF2,221,0,144,78,51,69,142,0,27,347,185,67
LIPF,0,0,0,0,0,0,0,0,0,0,0,0
PPP1R3C,1,0,0,0,0,0,0,0,0,0,1,0
MXI1,1052,1470,2332,1594,1866,2534,1857,2032,1220,2347,2415,1184
HELLS,0,0,0,0,0,0,0,0,0,0,0,0
PRLHR,1,3,6,0,1,1,2,0,1,9,5,2
KCNIP2,0,1,2,2,0,0,3,1,5,0,5,3
HOXB8,0,0,0,0,0,0,0,0,0,0,0,0
HOXB5,0,0,0,0,0,0,0,0,0,0,0,0
HOXB7,0,1,1,3,0,0,0,0,1,1,0,1
HOXB1,0,0,0,0,0,0,0,0,0,0,0,0
DUSP1,591,1508,1089,824,546,1263,1010,775,621,1315,915,564
PANK3,671,746,758,680,581,826,839,930,498,1031,845,573
MSX2,0,0,1,0,2,0,0,0,0,0,0,0
INSL4,6,8,10,4,3,4,9,8,3,6,7,2
IFNA7,0,0,0,0,0,0,0,0,0,0,0,0
LRP11,0,0,0,0,0,0,9,0,0,7,0,0
CCDC170,41,50,27,49,71,36,34,53,26,44,22,30
ARAP3,213,228,274,197,127,231,270,218,152,219,382,93
PCDHB8,0,0,0,0,0,0,0,0,0,0,0,0
PCDHB10,0,0,0,0,0,0,0,0,0,1,0,3
PCDHB14,2,2,8,5,2,0,2,5,1,3,6,3
PCDHB12,0,0,0,0,0,0,0,0,0,0,0,0
SLC25A2,0,1,5,1,3,3,1,3,1,2,2,0
PRRX1,0,1,0,0,0,1,0,0,0,0,0,0
TNN,0,0,0,0,0,0,0,0,0,0,0,2
TTLL2,0,0,0,0,0,0,0,0,0,0,0,0
MSANTD2,6,11,18,6,10,22,10,8,6,19,12,4
PDZD11,35,65,37,36,16,41,28,37,25,48,30,32
NUDCD1,40,38,26,29,25,40,19,25,26,46,19,37
CCDC77,0,0,0,0,0,0,0,0,23,26,0,6
TNFSF11,0,0,0,0,0,0,0,0,0,0,0,0
MTRF1,2,15,16,14,4,14,14,5,18,20,12,10
CCDC169,0,0,1,0,0,1,0,0,0,0,0,0
UFM1,174,195,173,156,144,204,222,160,136,255,279,130
ELF1,720,901,695,621,488,563,1036,727,497,1110,872,574
ALG5,39,40,43,41,47,35,56,41,35,54,52,31
EXOSC8,0,0,0,4,0,0,2,0,0,0,0,0
FAM53C,393,692,728,717,237,486,894,676,318,560,717,451
MYOT,3,0,3,8,11,5,5,6,5,12,8,3
EGR1,17,15,16,16,3,10,7,18,39,27,6,11
PFN2,0,0,8,14,16,0,9,13,0,0,10,6
SERP1,691,756,678,610,463,562,789,751,474,818,667,477
MTERF2,20,7,0,20,13,9,24,0,15,21,12,9
NFYB,57,56,90,61,44,56,71,81,69,78,77,52
WASHC3,17,24,28,46,9,43,25,0,13,24,0,11
FZD3,42,40,41,39,0,0,23,11,27,58,58,39
SLC39A14,0,0,10,7,0,0,0,0,3,0,0,6
DUSP4,9,10,9,7,6,10,6,13,9,8,6,7
SORBS3,18,0,38,23,16,7,16,43,11,21,19,23
CHRNA2,0,0,0,0,2,0,0,0,1,0,0,0
PPP3CC,101,86,81,80,99,97,86,122,64,139,144,98
RNF170,0,0,4,0,0,0,0,0,0,0,13,0
TARDBP,112,224,308,218,155,251,207,257,148,299,393,173
PRAMEF2,0,0,0,0,0,0,0,0,0,0,0,0
RDH10,39,20,40,31,16,17,34,44,14,52,26,20
LUC7L3,143,192,171,146,157,146,195,200,115,214,264,189
DLX4,0,0,1,0,0,4,0,2,3,0,0,0
COIL,85,71,93,68,57,75,110,97,57,136,102,80
TBX2,0,0,0,0,0,0,0,0,1,0,0,1
SLC35B1,0,0,17,13,2,4,7,13,13,9,4,0
TBX4,0,0,0,0,0,0,0,0,0,0,0,0
TEX14,0,0,0,0,0,0,0,0,0,0,0,0
FAM117A,600,978,1558,1231,1255,1749,818,1411,803,1352,1375,808
NCAPH,0,22,0,0,0,20,14,0,5,5,18,0
TMEM131L,8,57,66,9,65,45,58,21,24,67,51,26
MND1,0,2,0,0,0,0,7,2,0,0,7,0
ZNF141,107,116,147,127,99,133,124,116,96,217,194,94
TSHZ3,72,157,113,118,56,73,105,105,71,92,83,76
TAS2R8,0,0,0,0,1,1,0,0,0,0,0,0
PLBD1,421,937,697,578,184,662,968,749,347,686,644,429
KLRK1,190,277,215,194,237,330,218,208,164,540,165,132
TAS2R10,1,1,0,2,1,4,1,6,3,6,1,0
PRB1,0,0,0,0,0,3,0,0,0,4,0,0
PYROXD1,101,104,111,74,97,133,137,80,101,129,107,54
IAPP,0,2,2,2,1,0,3,0,2,6,3,0
KCNJ8,1,0,0,0,0,1,0,0,0,3,0,1
TAS2R9,0,0,0,0,0,0,0,0,0,0,0,0
ZNF549,8,0,42,66,41,0,35,12,29,0,27,35
ZSCAN18,0,4,0,0,0,0,0,0,9,0,0,17
ZNF211,23,28,48,43,0,0,40,78,19,0,94,0
TFG,64,65,66,59,65,73,93,85,41,112,56,25
KALRN,0,0,0,0,0,0,0,0,0,0,0,0
NAA50,166,192,160,209,131,182,231,195,133,267,199,144
PAX6,0,0,0,0,0,0,0,0,0,0,0,0
MAPK8IP1,3,7,10,6,3,10,0,10,4,2,0,3
PEX16,11,18,22,9,7,2,21,25,9,24,22,13
DEPDC7,6,2,5,7,2,6,0,6,2,5,3,4
CAT,91,257,923,969,471,806,94,864,513,1377,1065,0
ACHE,0,0,0,0,0,0,0,0,0,0,0,0
FBXO24,0,0,0,0,0,0,0,0,0,0,0,2
GJB6,0,0,0,0,0,0,0,0,0,0,0,0
GJA3,4,0,1,1,1,2,1,2,3,2,3,0
GHSR,0,2,0,0,1,1,0,0,0,0,0,0
TNFSF10,729,1874,835,669,459,743,1274,748,669,789,725,567
SLITRK3,3,0,4,2,0,0,0,1,1,0,4,0
CPXM2,0,0,0,0,0,0,0,0,0,0,2,0
CSMD2,0,0,0,0,0,0,0,1,0,1,0,0
GSTM2,10,34,42,19,13,40,28,34,14,43,50,10
ADORA3,41,30,40,19,67,34,29,35,14,35,17,13
GTDC1,0,0,0,0,0,0,0,0,4,0,0,0
CXCR4,741,1083,1134,836,703,775,1079,823,662,1171,883,641
ACVR2A,39,84,84,65,52,53,74,74,66,102,99,42
POLK,55,156,103,83,65,111,77,140,50,207,110,92
FLT3,21,8,44,41,20,29,0,27,13,0,19,27
RASL11A,6,14,16,6,5,12,13,17,6,7,10,12
FYTTD1,322,283,305,336,190,271,375,311,216,367,307,211
MTERF4,0,0,67,137,0,156,67,0,97,143,134,30
MRPS2,36,49,52,34,32,33,34,53,31,59,40,23
MYOG,0,0,1,1,0,0,1,0,0,0,0,1
COPA,272,683,781,658,461,668,588,686,304,792,636,464
HLA-DQA2,0,0,0,0,0,0,0,0,0,0,0,0
PRM2,0,0,0,0,0,0,0,0,0,0,0,0
OPN4,0,0,0,0,0,0,0,0,0,0,0,0
AHR,426,535,557,404,316,354,449,361,342,734,461,368
SCRN1,124,194,141,152,130,180,223,244,87,221,187,131
ETV1,0,0,0,0,0,0,0,0,0,0,0,0
BBS9,66,0,47,45,49,0,33,0,0,79,46,22
OCM,4,0,2,0,0,3,5,0,7,3,1,0
EEPD1,66,82,108,82,66,126,124,119,67,116,118,110
KIAA0087,0,3,2,2,1,3,1,1,0,4,8,0
WIPF3,0,0,0,0,0,0,0,0,0,0,0,0
NPY,0,0,0,0,0,0,0,0,0,0,0,0
HOXA7,0,0,0,0,0,0,0,1,0,0,3,0
INHBA,1,11,4,8,8,3,0,4,4,2,3,2
FKBP9,7,38,14,24,0,12,26,24,4,10,15,3
POLM,32,56,47,73,36,64,64,64,24,81,81,32
RAMP3,0,7,9,8,4,6,10,4,3,6,7,4
MRM2,33,0,8,0,56,19,45,32,30,14,0,26
TWIST1,0,0,0,0,0,0,0,0,0,0,1,0
SLC25A51,49,27,41,40,59,50,52,59,46,54,88,25
CLTA,0,0,0,0,0,0,0,0,0,0,0,0
TAF1L,2,3,2,1,1,0,4,0,0,1,2,1
PHF24,1,3,1,1,0,0,2,1,2,3,0,7
DNAI1,0,0,0,0,0,0,0,0,0,0,0,0
DCAF10,172,199,239,182,163,179,277,217,126,266,212,174
ZC3HAV1,642,1202,878,588,526,730,871,729,572,1051,907,497
AKR1D1,0,0,0,0,0,0,0,0,0,0,0,0
NEUROG3,0,0,0,0,0,0,0,0,0,0,0,0
SRGN,3887,6952,5416,3861,1720,3513,8026,3509,2608,5675,4920,2534
EGR2,4,0,0,0,4,4,0,0,0,7,0,0
FAM149B1,92,62,113,83,71,77,52,87,53,102,102,60
UNG,0,8,0,0,13,0,0,0,0,0,0,0
DYNLL1,130,254,207,202,94,171,270,276,119,247,185,172
IFT81,0,0,0,0,0,0,0,0,0,0,0,0
ACADS,21,32,34,41,24,32,23,28,29,32,33,13
HVCN1,173,179,206,180,178,193,306,201,133,224,308,178
RNF11,2143,2598,3835,3388,2265,3563,3453,4041,1644,3024,4197,2574
BHLHE41,11,14,9,6,12,6,13,9,12,14,10,4
SSPN,0,0,0,0,0,0,0,0,0,0,2,0
ITPR2,0,11,31,10,0,0,23,11,17,15,32,5
STX10,0,21,30,0,0,0,0,6,0,0,15,13
DDX39A,81,117,95,85,70,98,79,106,89,86,112,65
PKN1,209,197,65,230,143,345,123,205,269,295,223,151
TRIR,354,424,389,401,293,370,448,530,287,474,390,315
ADGRE5,625,985,623,701,301,504,827,601,573,773,553,515
ZNF442,15,33,42,38,26,29,32,25,19,39,36,31
KLHL24,65,124,126,94,87,68,104,134,95,120,104,66
CCDC70,0,0,0,0,0,0,1,0,0,0,0,0
EBPL,17,25,5,11,0,0,19,14,1,14,17,19
ATP7B,0,22,0,0,0,0,0,0,14,0,0,6
ZC3H13,457,485,343,296,310,412,399,485,284,607,392,358
CENPK,0,0,0,0,13,0,0,0,0,0,0,20
NEUROD4,0,0,0,0,0,0,0,0,0,0,0,0
PFDN5,0,0,0,3,2,0,6,0,3,0,5,5
ORMDL2,33,75,69,51,32,64,75,62,45,107,76,27
NR4A1,0,0,0,0,0,7,0,0,0,0,0,0
PDE1B,12,9,23,13,15,22,10,17,17,6,24,0
HOXC13,0,0,0,0,0,0,0,0,0,0,0,0
LRP1,2186,4180,3213,3026,1218,3274,2872,4004,2299,2990,2200,2305
HOXC11,0,0,0,0,0,0,0,0,0,1,0,0
HOXC12,2,1,0,0,3,1,0,2,2,1,2,2
HOXC6,0,0,0,0,0,0,0,0,0,0,0,0
SMUG1,7,5,0,0,0,0,0,0,0,0,0,2
TYRL,0,0,0,0,0,0,0,0,0,0,0,0
FAAH,24,19,19,16,9,22,12,28,17,19,27,19
RSRP1,96,243,152,153,94,174,200,209,141,183,200,167
IL13RA2,0,0,0,0,0,0,0,0,0,0,0,0
COL10A1,26,26,26,29,14,11,35,21,10,47,42,23
SEC61A1,532,737,685,600,446,703,722,747,397,898,700,435
TCEAL3,0,0,0,0,0,2,0,6,12,0,6,14
RAB9B,1,3,8,3,4,7,4,3,3,5,4,3
NRK,0,0,0,0,0,0,0,0,0,0,0,0
MAGEA9,0,0,0,0,0,0,0,0,0,0,0,1
RAB9A,0,1,1,0,0,4,5,0,6,6,5,6
RIF1,427,485,554,393,359,501,511,491,336,685,594,336
TTC21B,99,154,206,138,126,159,172,181,92,213,224,131
NMI,251,534,355,290,143,277,508,323,240,390,331,237
TNFAIP6,108,217,111,109,49,56,196,117,118,99,102,74
ACVR1C,30,25,28,15,24,22,20,19,7,38,28,22
SLC36A1,155,328,295,183,100,265,227,237,119,270,227,135
BATF3,0,4,5,5,3,8,10,0,1,2,4,8
KCNJ2,520,1721,990,635,295,655,1173,783,297,588,844,549
EXOSC9,51,24,31,25,32,22,57,65,49,69,41,37
PLA2G12A,196,246,350,250,164,174,275,234,119,193,271,187
SNRPA,72,90,55,78,54,62,65,78,57,99,95,58
B9D2,30,48,51,40,16,40,43,46,31,60,56,38
COQ8B,0,64,37,0,31,64,0,25,19,78,0,37
C4BPB,0,4,0,0,1,0,0,0,0,0,0,0
ZNF468,67,105,102,62,48,67,114,94,52,101,94,91
ZNF415,0,0,0,0,0,0,0,0,0,2,0,8
ZNF350,71,113,133,97,56,77,142,126,93,144,141,87
RAB38,3,4,4,4,3,4,9,3,0,1,5,3
GPR83,19,22,42,18,10,25,24,17,17,36,43,9
HAUS3,56,67,98,79,58,78,91,82,49,103,112,53
CHPF,28,6,14,19,21,19,14,26,26,31,21,0
INHA,0,0,0,0,0,0,0,0,0,0,0,0
FAM124B,7,16,22,20,9,10,14,5,16,3,13,11
SP140L,0,0,0,0,0,0,0,0,0,0,0,0
ENKD1,0,0,8,2,6,0,20,24,5,14,20,6
UBE2C,0,0,0,0,0,0,0,0,0,0,0,0
SLC35C2,0,7,0,0,9,0,8,32,0,0,22,12
ACTR5,32,62,78,60,47,57,63,64,49,101,111,38
MC3R,0,0,0,0,0,0,0,0,0,0,0,0
GCNT7,17,40,43,30,26,30,29,41,16,39,36,24
CTCFL,0,0,0,0,0,0,0,0,0,0,0,0
SYS1,150,184,149,185,98,161,148,191,96,236,203,128
PI3,17,318,169,126,44,130,203,186,14,169,119,127
WFDC3,0,0,0,0,0,0,0,0,0,0,0,0
SLC12A5,1,0,11,0,1,2,0,5,0,3,4,1
ARHGAP40,0,0,0,0,0,0,0,1,0,0,0,0
ATP5F1E,519,837,857,793,726,781,873,979,618,943,736,708
PLCG1,406,408,462,413,429,381,460,501,338,586,636,328
SRSF6,385,401,509,410,319,458,527,469,347,674,707,351
RAB22A,452,559,480,427,330,462,502,584,332,662,472,356
PTGIS,5,16,9,9,11,7,10,6,3,13,10,10
CDH26,0,0,0,0,0,0,0,0,0,0,0,0
SNAI1,1,0,0,2,1,0,2,1,1,1,0,3
MOCS3,40,67,63,48,43,60,48,58,60,79,77,47
RNF114,182,274,159,149,123,151,222,132,128,185,219,115
PPP4R1L,12,26,46,23,14,19,16,18,17,24,10,25
MAGEA10,0,0,0,0,0,0,0,0,0,0,0,0
PEPD,105,134,114,105,80,119,126,212,98,145,99,79
IL9R,6,8,1,0,6,2,0,2,9,2,3,0
NAGK,151,339,247,281,92,235,359,342,139,275,237,226
MCEE,5,16,10,9,6,5,13,7,3,10,9,7
PAIP2B,55,73,76,66,55,54,72,79,57,85,101,40
SNRNP27,17,28,4,46,39,11,21,13,13,37,38,32
MPHOSPH10,102,113,109,116,62,84,122,130,90,136,125,68
IL17C,1,0,0,3,3,0,0,1,0,2,0,1
LIPE,23,16,29,43,20,21,26,26,28,27,31,35
PSG9,0,0,0,0,0,0,0,0,0,0,0,0
PSG4,0,0,0,0,0,0,0,0,0,0,0,0
PSG1,0,0,0,0,0,0,0,0,0,0,0,0
HIF3A,0,0,0,0,0,0,0,0,0,0,0,0
IRGC,0,0,0,0,1,0,0,0,0,0,0,0
PINLYP,1,0,0,0,0,2,0,0,0,0,0,0
LYPD3,0,0,1,2,1,1,1,1,2,3,1,0
CEACAM8,55,94,74,44,58,46,19,45,18,24,20,25
DST,0,33,76,0,64,0,0,0,51,0,0,0
FBXO9,25,27,35,31,28,35,33,35,27,52,57,25
PACSIN1,0,0,0,0,0,0,0,0,0,0,0,0
RRP36,71,109,97,98,71,68,72,99,73,133,100,70
BTN1A1,6,13,3,0,5,10,12,9,8,7,7,0
BTN3A3,233,336,122,165,187,193,216,165,121,282,164,111
SNRPC,43,63,58,52,21,49,64,57,51,82,48,42
SLC17A1,0,0,0,0,0,0,0,0,0,0,0,0
ABCC10,54,50,94,74,89,35,66,70,36,91,103,56
H1-3,397,341,584,379,384,370,468,436,434,559,369,342
H4C6,114,99,70,72,82,99,72,92,120,103,59,110
PEX6,0,0,0,7,0,20,42,0,14,36,0,19
UNC5CL,15,10,24,2,11,24,15,6,15,31,20,6
AARS2,75,73,101,86,68,74,102,80,67,115,136,77
H1-1,0,4,0,1,2,2,3,2,3,5,1,2
ZNF391,16,12,6,6,12,20,11,12,14,18,9,2
OR2B6,0,2,0,2,1,5,3,3,3,4,1,0
TCP11,0,0,0,0,0,0,0,0,0,0,0,0
APOBEC2,4,9,16,9,19,16,18,7,4,15,19,6
KLHDC3,0,4,3,3,0,3,22,12,0,4,12,4
TREM1,285,543,553,508,114,319,668,433,351,680,556,269
MEA1,0,3,0,0,4,0,0,3,0,0,0,0
COL21A1,0,0,0,0,0,0,0,0,0,1,0,0
CDKN1A,88,165,170,142,82,96,184,163,125,99,157,110
